start_station_name,date,hour,trip_count,PRCP,SNOW,TAVG,extreme_weather,event_Basketball,event_Comedy,event_Concert,event_Fair,event_Hockey,day_of_week,is_weekend,week_of_year,month
Central Square at Mass Ave / Essex St,2024-01-02,11,8.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,12,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,13,6.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,14,2.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,15,2.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,16,6.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,17,11.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,18,8.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,19,6.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,20,7.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,21,4.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,22,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-02,23,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,1,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,2,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,3,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,4,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,5,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,6,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,7,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,8,3.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,9,2.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,10,5.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,11,3.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,12,6.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,13,3.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,14,5.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,15,7.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,16,5.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,17,14.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,18,11.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,19,11.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,20,8.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,21,2.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,22,2.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-03,23,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,0,1.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,1,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,2,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,3,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,4,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,5,2.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,6,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,7,3.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,8,3.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,9,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,10,7.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,11,3.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,12,3.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,13,12.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,14,10.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,15,9.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
